report_year,agency_jurisdiction,population,homicides,rapes,assaults,robberies
1979,"Pittsburgh, PA",439407.0,68.0,263.0,1566.0,2752.0
1979,"Portland, OR",406525.0,39.0,435.0,2297.0,1787.0
1979,"Prince George's County, MD",559514.0,48.0,346.0,1868.0,2276.0
1979,"Raleigh, NC",140285.0,17.0,46.0,539.0,202.0
1979,"Sacramento, CA",274300.0,44.0,219.0,1309.0,1640.0
1979,"Salt Lake City, UT",180189.0,18.0,155.0,451.0,495.0
1979,"San Antonio, TX",829138.0,171.0,367.0,1861.0,1689.0
1979,"San Diego, CA",829322.0,96.0,331.0,2125.0,2884.0
1979,"San Francisco, CA",659176.0,112.0,664.0,3571.0,6694.0
1979,"San Jose, CA",604993.0,44.0,407.0,1427.0,1358.0
1979,"Seattle, WA",521590.0,37.0,421.0,2328.0,2071.0
1979,"St. Louis, MO",505451.0,265.0,555.0,4568.0,5386.0
1979,"Suffolk County, NY",1165851.0,26.0,178.0,1708.0,1111.0
1979,"Tampa, FL",277203.0,37.0,308.0,2549.0,1312.0
1979,"Tucson, AZ",315978.0,14.0,184.0,1134.0,697.0
1979,"Tulsa, OK",343258.0,44.0,196.0,1435.0,651.0
1979,"Virginia Beach, VA",244308.0,10.0,74.0,258.0,188.0
1979,"Washington, DC",656000.0,180.0,489.0,2964.0,6920.0
1979,"Wichita, KS",273559.0,32.0,147.0,609.0,668.0
1980,"Albuquerque, NM",328837.0,49.0,217.0,1630.0,914.0
1980,"Arlington, TX",161192.0,7.0,72.0,531.0,196.0
1980,"Atlanta, GA",422474.0,201.0,671.0,5470.0,4733.0
1980,"Aurora, CO",158249.0,10.0,95.0,822.0,351.0
1980,"Austin, TX",343425.0,43.0,237.0,765.0,678.0
1980,"Baltimore County, MD",651337.0,26.0,184.0,4356.0,1208.0
1980,"Baltimore, MD",784554.0,216.0,560.0,5775.0,10020.0
1980,"Boston, MA",562582.0,92.0,484.0,4376.0,7526.0
1980,"Buffalo, NY",357384.0,61.0,297.0,1561.0,1914.0
1980,"Charlotte, NC",310794.0,60.0,145.0,1868.0,686.0
1980,"Chicago, IL",2986419.0,863.0,1329.0,10205.0,16261.0
1980,"Cincinnati, OH",383114.0,48.0,353.0,1843.0,1686.0
1980,"Cleveland, OH",572657.0,265.0,703.0,3696.0,6802.0
1980,"Columbus, OH",562416.0,87.0,460.0,1359.0,3224.0
1980,"Dallas, TX",900104.0,319.0,1121.0,6258.0,4983.0
1980,"Denver, CO",489318.0,99.0,704.0,2351.0,2366.0
1980,"Detroit, MI",1197325.0,547.0,1313.0,7999.0,13429.0
1980,"El Paso, TX",425122.0,54.0,218.0,1711.0,828.0
1980,"Fairfax County, VA",568736.0,21.0,95.0,376.0,503.0
1980,"Fort Worth, TX",382679.0,106.0,338.0,1963.0,2286.0
1980,"Fresno, CA",215396.0,49.0,193.0,895.0,1232.0
1980,"Honolulu, HI",762020.0,65.0,264.0,398.0,1729.0
1980,"Houston, TX",1557575.0,524.0,1264.0,2530.0,9181.0
1980,"Indianapolis, IN",698753.0,107.0,410.0,1743.0,2193.0
1980,"Jacksonville, FL",542795.0,70.0,414.0,2733.0,1631.0
1980,"Kansas City, MO",446865.0,132.0,518.0,3474.0,2889.0
1980,"Las Vegas, NV",385396.0,92.0,291.0,1402.0,2636.0
1980,"Long Beach, CA",356906.0,82.0,288.0,1483.0,2781.0
1980,"Los Angeles County, CA",1020111.0,201.0,728.0,7732.0,3932.0
1980,"Los Angeles, CA",2952511.0,1010.0,2813.0,21987.0,25637.0
1980,"Memphis, TN",644957.0,152.0,788.0,2112.0,3846.0
1980,"Mesa, AZ",149662.0,10.0,62.0,547.0,193.0
1980,"Miami-Dade County, FL",774491.0,212.0,533.0,5986.0,5698.0
1980,"Miami, FL",335718.0,220.0,325.0,4039.0,6890.0
1980,"Milwaukee, WI",633845.0,74.0,213.0,1227.0,1796.0
1980,"Minneapolis, MN",370163.0,36.0,373.0,1241.0,2267.0
1980,"Montgomery County, MD",519381.0,16.0,144.0,475.0,798.0
1980,"Nashville, TN",452025.0,87.0,295.0,1225.0,2027.0
1980,"Nassau County, NY",1049118.0,20.0,28.0,488.0,926.0
1980,"New Orleans, LA",557761.0,218.0,588.0,2719.0,4647.0
1980,"New York City, NY",7035348.0,1812.0,3711.0,43476.0,100550.0
1980,"Newark, NJ",330104.0,163.0,546.0,3716.0,6845.0
1980,"Oakland, CA",338721.0,132.0,434.0,2722.0,4248.0
1980,"Oklahoma City, OK",401577.0,72.0,337.0,2074.0,1251.0
1980,"Omaha, NE",312919.0,38.0,213.0,679.0,1053.0
1980,"Orlando, FL",127811.0,17.0,190.0,1401.0,742.0
1980,"Philadelphia, PA",1681175.0,436.0,937.0,5043.0,10883.0
1980,"Phoenix, AZ",772884.0,103.0,485.0,3395.0,3037.0
1980,"Pittsburgh, PA",424205.0,50.0,299.0,1519.0,3252.0
1980,"Portland, OR",364419.0,46.0,364.0,2298.0,2249.0
1980,"Prince George's County, MD",556147.0,53.0,383.0,1870.0,2888.0
1980,"Raleigh, NC",148429.0,12.0,64.0,448.0,260.0
1980,"Sacramento, CA",274547.0,45.0,217.0,1355.0,1604.0
